Tournament_Members,Player1,Player2,Player3,Avg_Norm_Score,Avg_Norm_Cooperation_Rate,Avg_Good_Partner_Rate,Avg_Eigenmoses_Rate,Avg_Eigenjesus_Rate,Avg_Norm_CC_Distribution
"Cooperator Def,Fourteen Coop,Win-Stay Lose-Shift Defect",Cooperator Def,Fourteen Coop,Win-Stay Lose-Shift Defect,2.7083333333333335,0.7907407407407407,0.6666666666666666,-0.38438556469954466,0.5574426366039619,0.5416666666666666
"Cooperator Def,Fourteen Defect,Fourteen Defect",Cooperator Def,Fourteen Defect,Fourteen Defect,2.0208333333333335,0.3935185185185185,0.6666666666666666,0.32869038017539026,0.5302919152582172,0.4166666666666667
"Cooperator Def,Fourteen Defect,Seven Coop",Cooperator Def,Fourteen Defect,Seven Coop,2.625,0.6018518518518517,0.5,0.1918746836257501,0.56835425948637,0.5
"Cooperator Def,Fourteen Defect,Seven Defect",Cooperator Def,Fourteen Defect,Seven Defect,2.506944444444444,0.5694444444444444,0.5,0.19506857866021762,0.5634222881584924,0.47222222222222227
"Cooperator Def,Fourteen Defect,Stubborn Coop",Cooperator Def,Fourteen Defect,Stubborn Coop,2.458333333333333,0.5462962962962963,0.5,0.003586936020860576,0.538691629815998,0.16666666666666666
"Cooperator Def,Fourteen Defect,Stubborn Def",Cooperator Def,Fourteen Defect,Stubborn Def,1.8958333333333333,0.3101851851851852,0.6666666666666666,0.3021947535955063,0.4454303735166896,0.16666666666666666
"Cooperator Def,Fourteen Defect,Suspicious Tit For Tat",Cooperator Def,Fourteen Defect,Suspicious Tit For Tat,2.0208333333333335,0.3935185185185185,0.6666666666666666,0.32869038017539026,0.5302919152582172,0.4166666666666667
"Cooperator Def,Fourteen Defect,Sucker Coop",Cooperator Def,Fourteen Defect,Sucker Coop,2.493055555555556,0.46388888888888885,0.5,-0.34633942803414297,0.5182740385652748,0.23611111111111113
"Cooperator Def,Fourteen Defect,Sucker Defect",Cooperator Def,Fourteen Defect,Sucker Defect,1.8958333333333333,0.3101851851851852,0.6666666666666666,0.3021947535955063,0.4454303735166896,0.16666666666666666
"Cooperator Def,Fourteen Defect,Thirteen Coop",Cooperator Def,Fourteen Defect,Thirteen Coop,2.756944444444444,0.7453703703703703,0.5,0.5232265415087075,0.5624849988570974,0.7638888888888888
"Cooperator Def,Fourteen Defect,Thirteen Defect",Cooperator Def,Fourteen Defect,Thirteen Defect,2.638888888888889,0.7074074074074074,0.6666666666666666,0.5216736957887198,0.5636040767795707,0.7361111111111112
"Cooperator Def,Fourteen Defect,Tit For Tat",Cooperator Def,Fourteen Defect,Tit For Tat,2.722222222222222,0.7222222222222222,0.8333333333333334,0.5290585671389473,0.5650135897289482,0.6944444444444445
"Cooperator Def,Fourteen Defect,Two Coop",Cooperator Def,Fourteen Defect,Two Coop,2.590277777777778,0.5287037037037037,0.5,-0.19506857866021762,0.5548480374412945,0.4305555555555556
"Cooperator Def,Fourteen Defect,Two Defect",Cooperator Def,Fourteen Defect,Two Defect,1.9583333333333333,0.35185185185185186,0.6666666666666666,0.31894402612506084,0.5081310470384088,0.2916666666666667
"Cooperator Def,Fourteen Defect,Win-Shift Lose-Stay",Cooperator Def,Fourteen Defect,Win-Shift Lose-Stay,1.9583333333333333,0.35185185185185186,0.6666666666666666,0.31894402612506084,0.5081310470384088,0.2916666666666667
"Cooperator Def,Fourteen Defect,Win-Shift Lose-Stay Coop",Cooperator Def,Fourteen Defect,Win-Shift Lose-Stay Coop,2.625,0.5518518518518518,0.5,-0.15936170510625491,0.5616003513685514,0.5
"Cooperator Def,Fourteen Defect,Win-Stay Lose-Shift",Cooperator Def,Fourteen Defect,Win-Stay Lose-Shift,2.458333333333333,0.5462962962962963,0.5,0.003586936020860576,0.538691629815998,0.16666666666666666
"Cooperator Def,Fourteen Defect,Win-Stay Lose-Shift Defect",Cooperator Def,Fourteen Defect,Win-Stay Lose-Shift Defect,2.5,0.6148148148148148,0.6666666666666666,0.5298429365885774,0.5685477372497887,0.4583333333333333
"Cooperator Def,Seven Coop,Seven Coop",Cooperator Def,Seven Coop,Seven Coop,2.5,0.6322751322751322,0.8333333333333334,0.5252448824326051,0.5721658393849748,0.5
"Cooperator Def,Seven Coop,Seven Defect",Cooperator Def,Seven Coop,Seven Defect,2.4791666666666665,0.6276455026455027,0.6666666666666666,0.466862733028987,0.5698376467562404,0.5
"Cooperator Def,Seven Coop,Stubborn Coop",Cooperator Def,Seven Coop,Stubborn Coop,2.5972222222222223,0.6415343915343915,0.6666666666666666,-0.3105695485151014,0.5450140786177452,0.19444444444444445
"Cooperator Def,Seven Coop,Stubborn Def",Cooperator Def,Seven Coop,Stubborn Def,2.5208333333333335,0.5072751322751322,0.6666666666666666,-0.30326981497531486,0.47087178389260625,0.16666666666666666
"Cooperator Def,Seven Coop,Suspicious Tit For Tat",Cooperator Def,Seven Coop,Suspicious Tit For Tat,2.701388888888889,0.6276455026455027,0.8333333333333334,0.14225194033021651,0.571103969763229,0.5277777777777777
"Cooperator Def,Seven Coop,Sucker Coop",Cooperator Def,Seven Coop,Sucker Coop,2.576388888888889,0.5406084656084655,0.6666666666666666,0.17763095869861178,0.5177800828362443,0.23611111111111113
"Cooperator Def,Seven Coop,Sucker Defect",Cooperator Def,Seven Coop,Sucker Defect,2.5208333333333335,0.5072751322751322,0.6666666666666666,-0.30326981497531486,0.47087178389260625,0.16666666666666666
"Cooperator Def,Seven Coop,Thirteen Coop",Cooperator Def,Seven Coop,Thirteen Coop,2.8125,0.78505291005291,0.6666666666666666,0.5000393363426567,0.564594183449989,0.625
"Cooperator Def,Seven Coop,Thirteen Defect",Cooperator Def,Seven Coop,Thirteen Defect,2.6666666666666665,0.71005291005291,0.8333333333333334,0.46131072002879225,0.5738271032727563,0.4583333333333333
"Cooperator Def,Seven Coop,Tit For Tat",Cooperator Def,Seven Coop,Tit For Tat,2.763888888888889,0.7526455026455027,1.0,0.5482935943532168,0.5737591848490202,0.5277777777777777
"Cooperator Def,Seven Coop,Two Coop",Cooperator Def,Seven Coop,Two Coop,2.534722222222222,0.5683862433862433,0.6666666666666666,0.10421569053036665,0.5545598521886798,0.40277777777777773
"Cooperator Def,Seven Coop,Two Defect",Cooperator Def,Seven Coop,Two Defect,2.472222222222222,0.5489417989417988,0.6666666666666666,0.09785328943878902,0.5462647466466467,0.40277777777777773
"Cooperator Def,Seven Coop,Win-Shift Lose-Stay",Cooperator Def,Seven Coop,Win-Shift Lose-Stay,2.472222222222222,0.5489417989417988,0.6666666666666666,0.09785328943878902,0.5462647466466467,0.40277777777777773
"Cooperator Def,Seven Coop,Win-Shift Lose-Stay Coop",Cooperator Def,Seven Coop,Win-Shift Lose-Stay Coop,2.5555555555555554,0.5822751322751322,0.6666666666666666,0.11844990048892041,0.5602462705292763,0.4444444444444444
